Country,Place_Name,Latitude,Longitude
DE,Munich,48.1388,11.5341
DE,Wetter,51.3919,7.3778
DE,Germering,48.126999999999995,11.3665
DE,Gau-algesheim,49.9656,8.0294
DE,Zeven,53.3,9.2833
DE,Aachen,50.776,6.0872
DE,Bodman-ludwigshafen,47.8167,9.0667
DE,Schwanewede,53.2321,8.5407
DE,Nidderau,50.25,8.9
DE,Goslar,51.9191,10.4167
DE,B<f6>blingen,48.6902,8.9705
DE,Steinenbronn,48.6619,9.1218
DE,Buchholz,53.3285,9.8621
DE,Ronnenberg,52.332,9.6605
DE,Taufkirchen,48.05,11.6167
DE,Bremen,53.1178,8.8947
DE,Chemnitz,50.827,12.9043
DE,Hallenberg,51.0833,8.6167
DE,Hamburg,53.5521,10.0004
DE,Weiterstadt,49.9021,8.5997
DE,Osnabr<fc>ck,52.2651,8.0096
DE,Frankfurt Am Main,50.1184,8.6095
DE,Hattingen,51.4,7.1667
DE,Munich,48.0982,11.5821
DE,Hattersheim,50.0667,8.4667
DE,Hamburg,53.5701,9.8654
DE,Bruckm<fc>hl,47.8833,11.9167
DE,Marburg,50.8165,8.7513
DE,Offenbach,50.0894,8.7494
DE,D<fc>sseldorf,51.2302,6.7135
DE,Neunkirchen,50.7801,8.0265
DE,Jena,50.8933,11.5847
DE,Hallbergmoos,48.3095,11.744000000000002
DE,Magdeburg,52.1333,11.6167
DE,Furtwangen,48.05,8.2
DE,L<fc>beck,53.8471,10.6845
DE,R<f6>srath,50.9182,7.1979
DE,Moers,51.45,6.65
DE,Heilbronn,49.1566,9.1746
DE,Norderstedt,53.6874,10.0366
DE,Darmstadt,49.8192,8.6449
DE,Darmstadt,49.8875,8.6446
DE,Straelen,51.4384,6.2711
DE,Berlin,52.515,13.4608
DE,Gutach,48.1167,7.9833
DE,Aschaffenburg,49.9751,9.1314
DE,Neus<e4><df>,48.4061,10.7994
DE,Freiburg,47.9809,7.7957
DE,Bremen,53.0889,8.7906
DE,Neuss,51.1646,6.7519
DE,Wolfsburg,52.3808,10.8285
DE,Wolfsburg,52.4239,10.7812
DE,Wolfsburg,52.4204,10.7188
DE,Rosenheim,47.8391,12.1026
DE,Munich,48.15,11.5833
DE,Berlin,52.4975,13.4584
DE,Bremen,53.0841,8.8271
DE,Bremen,53.1003,8.8752
DE,Stuttgart,48.7667,9.1833
DE,Krefeld,51.3281,6.6160000000000005
DE,Krefeld,51.303999999999995,6.5899
DE,D<fc>sseldorf,51.223,6.7827
DE,Kiel,54.3253,10.1212
DE,Berlin,52.5001,13.4369
DE,G<fc>tersloh,51.9,8.3833
DE,Dresden,51.05,13.75
DE,Essen,51.4992,7.0488
DE,Ravensburg,47.7815,9.6183
DE,Oberhausen,51.4773,6.8413
DE,Wuppertal,51.2221,7.0639
DE,Monheim,51.0833,6.8833
DE,Berlin,52.567,13.312999999999999
DE,Simmern,49.9833,7.5667
DE,Aachen,50.7683,6.0760000000000005
DE,Unna,51.5302,7.676
DE,Dettelbach,49.8017,10.1618
DE,Herford,52.126999999999995,8.6427
DE,Berlin,52.5161,13.3873
DE,Seefeld,48.0333,11.2
DE,Oberschlei<df>heim,48.2488,11.5677
DE,Herrsching,48.0,11.1833
DE,Lauben,47.7833,10.3
DE,Lage,52.0085,8.7785
DE,Erdmannhausen,48.9333,9.3
DE,Eschweiler,50.8237,6.2675
DE,Munich,48.1345,11.571
DE,Munich,48.1352,11.6039
DE,Munich,48.1224,11.5449
DE,Haar,48.1,11.7333
DE,Munich,48.1414,11.502
DE,Herzogenaurach,49.5704,10.8897
DE,Munich,48.1223,11.6205
DE,Munich,48.1642,11.6218
DE,Oberhaching,48.0333,11.6
DE,Hebertshausen,48.2902,11.4724
DE,Freising,48.3924,11.7569
DE,Munich,48.1265,11.6317
DE,Reichertshausen,48.4667,11.5167
DE,Munich,48.1427,11.5552
DE,Garching,48.2499,11.6309
